Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing
PULLENVALE,KENMORE,D1189,GUBBERLEY STREET PARK,17913,BALANCE OF PARK,81164,TAP COMBINATION,Bubbler & Tap,-27.51125714,152.9437034,494440,6956935
PULLENVALE,KENMORE,D1333,HENRY CLARKSON PARK,17921,BALANCE OF PARK,93744,TAP COMBINATION,Bubbler & 2 taps,-27.51706297,152.9458876,494656,6956292
PULLENVALE,KENMORE,D1515,AKUNA STREET PARK,17907,AKUNA ST PLAYGROUND,93700,TAP COMBINATION,Bubbler & 2 taps,-27.51116985,152.9516416,495224,6956945
PULLENVALE,KENMORE,D1720,PALM STREET PARK,17777,PALM ST PLAYGROUND,93280,TAP COMBINATION,Bubbler & 2 taps,-27.51498101,152.9331607,493399,6956522
PULLENVALE,KENMORE HILLS,D0743,CREEKSIDE STREET PARK,18105,CREEKSIDE ST PLAYGROUND,17700,TAP COMBINATION,Bubbler & 2 taps,-27.50356187,152.9184768,491948,6957786
PULLENVALE,KENMORE HILLS,D0816,MIRBELIA STREET PARK,18002,MIRBELIA ST PLAYGROUND,28919,TAP COMBINATION,Bubbler & Tap,-27.50430319,152.9379561,493872,6957705
PULLENVALE,KENMORE HILLS,D1033,TUCKETT STREET PARK,18059,TUCKETT ST PLAYGROUND,21396,TAP COMBINATION,Bubbler & Tap,-27.50283459,152.9255746,492649,6957867
PULLENVALE,KENMORE HILLS,D1033,TUCKETT STREET PARK,18059,TUCKETT ST PLAYGROUND,192389,TAP COMBINATION,Bubbler & 2 taps,-27.50311463,152.9259086,492682,6957836
PULLENVALE,MOGGILL,D1699,LIVESAY ROAD PARK,17781,BALANCE OF PARK,86547,TAP COMBINATION,Bubbler & Tap,-27.56907188,152.8852103,488669,6950527
PULLENVALE,MOGGILL,D2613,WESTAWAY PARK,30152,PINEAPPLE FARM PICNIC AREA,135806,BUBBLER/DRINKING FOUNTAIN,Disabled access fountain,-27.57083955,152.8727983,487444,6950330
PULLENVALE,MOGGILL,D2613,WESTAWAY PARK,23585,BALANCE OF PARK,135769,BUBBLER/DRINKING FOUNTAIN,Disabled access fountain,-27.56985606,152.873387,487502,6950439
PULLENVALE,MOGGILL,D3055,LANCEWOOD PLACE PARK,33669,BALANCE OF PARK,192323,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.56693517,152.8681327,486983,6950762
PULLENVALE,MOGGILL,D3122,JARRAH STREET PARK,33671,BALANCE OF PARK,192292,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.57332794,152.8692496,487094,6950054
PULLENVALE,MT CROSBY,D1894,PLATYPUS PARK,29087,PLATYPUS PK PICNIC AREA,80109,TAP COMBINATION,Bubbler & 2 taps,-27.52414059,152.8179667,482024,6955496
THE GAP,ASHGROVE,D0161,DORRINGTON PARK,19439,ENCHANTED FOREST DISTRICT PLAYGROUND,5288,TAP COMBINATION,Bubbler & Tap,-27.43908908,152.9856719,498584,6964930
THE GAP,ASHGROVE,D0161,DORRINGTON PARK,19437,MIRRABOOKA RD PICNIC AREA,94990,TAP COMBINATION,Bubbler & 2 taps,-27.4394141,152.9858338,498600,6964894
THE GAP,ASHGROVE,D0161,DORRINGTON PARK,19446,FRASERS RD PICNIC AREA,95086,TAP COMBINATION,Bubbler & 2 taps,-27.4392247,152.9877665,498791,6964915
THE GAP,ASHGROVE,D0186,ASHGROVE SPORTSGROUND PARK,19575,GPS OLD BOYS RUFC & VALLEY DISTRICT CRICKET FACILITY,17659,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.44079361,152.9735898,497390,6964741
THE GAP,ASHGROVE,D0186,ASHGROVE SPORTSGROUND PARK,19576,BALANCE OF PARK,95144,TAP COMBINATION,Bubbler & 2 taps,-27.44067645,152.9747029,497500,6964754
THE GAP,ASHGROVE,D0187,STEWART PLACE PARK,19567,BALANCE OF PARK,17684,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,-27.44526474,152.9918641,499196,6964246
THE GAP,ASHGROVE,D0190,SEILS PARK,19555,SEILS PK PLAYGROUND,42756,TAP COMBINATION,Bubbler & Tap,-27.43804254,152.9976626,499769,6965046
THE GAP,ASHGROVE,D0193,TENNIS AVENUE PARK,22443,TENNIS AVE PICNIC AREA,95543,TAP COMBINATION,Bubbler & 2 taps,-27.44328783,153.0019024,500188,6964465
THE GAP,ASHGROVE,D0194,CORBIE STREET PARK,29477,RALEIGH PDE PICNIC AREA,81123,TAP COMBINATION,Bubbler & 2 taps,-27.43925232,152.9999292,499993,6964912
THE GAP,ASHGROVE,D0869,MONOPLANE STREET PARK,19321,MONOPLANE ST BMX FACILITY,44780,TAP COMBINATION,Bubbler & Tap,-27.45177161,152.9732532,497357,6963525
THE GAP,ASHGROVE,D0869,MONOPLANE STREET PARK,19316,MONOPLANE ST DOG OFF LEASH AREA,95381,TAP COMBINATION,Bubbler & 2 taps,-27.45145577,152.9739718,497428,6963560
THE GAP,ASHGROVE,D0869,MONOPLANE STREET PARK,19316,MONOPLANE ST DOG OFF LEASH AREA,95390,TAP COMBINATION,Bubbler & 2 taps,-27.45237667,152.9742043,497451,6963458
